"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110","Can delete artist","","2026-06-01","passed","2026-06-01","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canDeleteArtistTest"
"","5615","Check errors displayed if registration data has invalid length Case: [min - 1]","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfRegistrationDataLengthIsInvalidTest"
"","1901","Can get all artist paintings","","2026-06-01","passed","2026-06-01","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canGetAllArtistPaintingsTest"
"","351","Can not update artist name to exist","","2026-06-01","passed","2026-06-01","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canNotUpdateArtistNameToExistTest"
"","277","Can not create user with exists username","","2026-06-01","passed","2026-06-01","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canNotCreateUserWithExistsUsernameTest"
"","6","Can get all countries","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetAllCountriesTest"
"","1","Check displayed default empty list if museum not exists","","2026-06-01","failed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayEmptyListWhenMuseumsNotExistsTest"
"","462","Can get museum by id","","2026-06-01","passed","2026-06-01","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canGetMuseumByIdTest"
"","2723","Should display bad credentials error, if sign in with unknown username","","2026-06-01","passed","2026-06-01","","[WEB] Login tests","org.rococo.tests.tests.web.LoginWebTest","shouldDisplayBadCredentialsErrorIfUsernameUnknownTest"
"","92","Should returns BAD_REQUEST if register with weak password","","2026-06-01","passed","2026-06-01","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordIsWeakTest"
"","472","Can update museum","","2026-06-01","passed","2026-06-01","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canUpdateMuseumTest"
"","9225","Should update painting with correct data","","2026-06-01","failed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldUpdatePaintingWithCorrectDataTest"
"","64","Can get all countries","","2026-06-01","passed","2026-06-01","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetAllCountriesTest"
"","200","Can get user by id","","2026-06-01","passed","2026-06-01","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canGetUserByIdTest"
"","5422","Can get artist by name","","2026-06-01","passed","2026-06-01","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canGetArtistByName"
"","1019","Can not update painting name to exist","","2026-06-01","passed","2026-06-01","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canNotUpdatePaintingNameToExistTest"
"","5","Returns Optional.empty() if search country by unknown id","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetEmptyCountryByUnknownIdTest"
"","1733","Can get all paintings","","2026-06-01","passed","2026-06-01","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetAllPaintingsTest"
"","207","Can get user by username","","2026-06-01","passed","2026-06-01","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canGetUserByUsername"
"","3414","Check displayed error if register by exists username","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldNotRegisterIfUsernameExistsTest"
"","179","Can delete museum","","2026-06-01","passed","2026-06-01","","[DB] Museums tests","org.rococo.tests.tests.fake.db.MuseumDbTest","canDeleteMuseumTest"
"","220","Can update artist","","2026-06-01","passed","2026-06-01","","[DB] Artists tests","org.rococo.tests.tests.fake.db.ArtistDbTest","canUpdateArtistTest"
"","115","Should returns BAD_REQUEST if register with invalid length password Case: password length = 21","","2026-06-01","passed","2026-06-01","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordLengthInvalidTest"
"","6","Throws exception if CountryCode = EMPTY","","2026-06-01","passed","2026-06-01","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","shouldThrowExceptionIfCountryCodeIsEmptyTest"
"","397","Can update artist","","2026-06-01","passed","2026-06-01","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canUpdateArtistTest"
"","3","Returns Optional.empty() if search country by unknown country code","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetEmptyCountryByUnknownCountryCodeTest"
"","5740","Check user creates if username length is valid Case: [min]","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldRegisterUserIfRegistrationDataIsValidTest"
"","1699","Can get all artist paintings","","2026-06-01","passed","2026-06-01","","[GRPC] Paintings tests","org.rococo.tests.tests.fake.grpc.PaintingGrpcTest","canGetAllArtistPaintingsTest"
"","48","Returns Optional.empty() if search painting by unknown id","","2026-06-01","passed","2026-06-01","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canGetEmptyPaintingByUnknownIdTest"
"","73","Should returns BAD_REQUEST if register with invalid length password Case: password length = 4","","2026-06-01","passed","2026-06-01","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordLengthInvalidTest"
"","22014","Check painting creates if data length is valid Case: [min]","","2026-06-01","passed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldCreatePaintingWithValidLengthDataTest"
"","14646","Check error displayed on update painting form when uploading image with invalid format","","2026-06-01","failed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldDisplayErrorOnUpdatePaintingFormWhenUploadingInvalidImageFormat"
"","6979","Check museums found by filtered search","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldFindMuseumsWithFilterTest"
"","14000","Check artist updates if data length is valid Case: [min]","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldUpdateArtistWithValidLengthDataTest"
"","10299","Check displayed empty filtered list container if museum not founded by query","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayMuseumAfterFilteringByNameTest"
"","49","Returns Optional.empty() if search user by unknown id","","2026-06-01","passed","2026-06-01","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canGetEmptyUserByUnknownIdTest"
"","509","Can get user by id","","2026-06-01","passed","2026-06-01","","[API] Users tests","org.rococo.tests.tests.api.UserApiTest","canGetUserByIdTest"
"","1185","Can get all artist paintings","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetAllArtistPaintingsTest"
"","463","Can delete painting","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canDeletePaintingTest"
"","475","Can create artist","","2026-06-01","passed","2026-06-01","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canCreateArtistTest"
"","463","Should returns BAD_REQUEST if register with exists username","","2026-06-01","passed","2026-06-01","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfRegisterWithExistsUsernameTest"
"","20181","Check errors visible on update museum form if fields have invalid data length Case: [max + 1]","","2026-06-01","broken","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldVisibleErrorsOnMuseumUpdateFormIfMuseumFieldsHaveInvalidDataLengthTest"
"","151","Should throw CountryNotFoundException if update museum with unknown country","","2026-06-01","passed","2026-06-01","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","shouldThrowCountryNotFoundExceptionIfCreateMuseumWithUnknownCountryTest"
"","10412","Check errors visible on add new painting form if fields have greater than max characters length Case: [max + 10]","","2026-06-01","failed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldDisplayErrorsOnAddAristFormIfPaintingFieldsHaveGreaterThanMaxLengthTest"
"","374","Can delete user","","2026-06-01","passed","2026-06-01","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canDeleteUserTest"
"","8668","Check add new artist button not exists without authorization","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldNotAvailableAddArtistWithoutAuthorizationTest"
"","360","Can create museum","","2026-06-01","passed","2026-06-01","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canCreateMuseumTest"
"","72","Returns Optional.empty() if search country by unknown id","","2026-06-01","passed","2026-06-01","","[API] Countries tests","org.rococo.tests.tests.api.CountryApiTest","canGetEmptyCountryByUnknownIdTest"
"","15612","Should update artist with correct data","","2026-06-01","broken","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldUpdateArtistWithCorrectDataTest"
"","7","Can get country by code","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.CountryDbTest","canGetCountryByCodeTest"
"","1618","Can update painting","","2026-06-01","failed","2026-06-01","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canUpdatePaintingTest"
"","910","Returns Optional.empty() if search museum by unknown title","","2026-06-01","passed","2026-06-01","","[API] Museums tests","org.rococo.tests.tests.api.MuseumApiTest","canGetEmptyMuseumByUnknownTitleTest"
"","5724","Check error displayed on update artist form when uploading image with invalid format","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorOnUpdateArtistFormWhenUploadingInvalidImageFormat"
"","835","Returns Optional.empty() if search artist by unknown id","","2026-06-01","passed","2026-06-01","","[GRPC] Artists tests","org.rococo.tests.tests.fake.grpc.ArtistGrpcTest","canGetEmptyArtistByUnknownIdTest"
"","6033","Should register if user credentials is valid","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldRegisterUserWithCorrectCredentialsTest"
"","827","Can delete painting","","2026-06-01","passed","2026-06-01","","[API] Paintings tests","org.rococo.tests.tests.api.PaintingApiTest","canDeletePaintingTest"
"","23777","Check errors visible on update museum form if fields have invalid data length Case: [min - 1]","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldVisibleErrorsOnMuseumUpdateFormIfMuseumFieldsHaveInvalidDataLengthTest"
"","34163","Check museum creates if data length is valid Case: [max]","","2026-06-01","broken","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldCreateMuseumWithValidLengthDataTest"
"","7439","Check errors visible on add new artist form if fields have greater than max characters length Case: [min - 1]","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldDisplayErrorsOnAddAristFormIfArtistFieldsHaveGreaterThanMaxLengthTest"
"","8524","Check add new museum button not exists without authorization","","2026-06-01","passed","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldNotAvailableAddMuseumWithoutAuthorizationTest"
"","464","Can get artist by id","","2026-06-01","passed","2026-06-01","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canGetArtistByIdTest"
"","5070","Check user creates if username length is valid Case: [max]","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldRegisterUserIfRegistrationDataIsValidTest"
"","304","Can get museum by title","","2026-06-01","passed","2026-06-01","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canGetMuseumByTitle"
"","240","Can not update username","","2026-06-01","passed","2026-06-01","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canNotUpdateArtistNameToExistTest"
"","5345","Check errors displayed if username has invalid pattern Case: [username starts and ends with valid special symbol]","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfUsernameHasInvalidPatternTest"
"","288","Should returns BAD_REQUEST if register with invalid length password Case: password length = 0","","2026-06-01","passed","2026-06-01","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfPasswordLengthInvalidTest"
"","6935","Check add new painting button not exists without authorization","","2026-06-01","passed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldNotAvailableAddPaintingWithoutAuthorizationTest"
"","7726","Check artists found by filtered search","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldFindArtistsWithFilterTest"
"","5479","Check errors displayed if username has invalid pattern Case: [username contains invalid special]","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfUsernameHasInvalidPatternTest"
"","179","Can delete user","","2026-06-01","passed","2026-06-01","","[DB] Users tests","org.rococo.tests.tests.fake.db.UserDbTest","canDeleteUserTest"
"","5419","Can not create artist with exists name","","2026-06-01","passed","2026-06-01","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canNotCreateArtistWithExistsNameTest"
"","5663","Check errors displayed if registration data has invalid length Case: [1]","","2026-06-01","passed","2026-06-01","","[WEB] Registration tests","org.rococo.tests.tests.web.RegistrationWebTests","shouldDisplayErrorsIfRegistrationDataLengthIsInvalidTest"
"","34","Can get country by id","","2026-06-01","passed","2026-06-01","","[GRPC] Countries tests","org.rococo.tests.tests.fake.grpc.CountryGrpcTest","canGetCountryByIdTest"
"","15334","Check errors visible on add new museum form if fields have greater than max characters length Case: [min - 1]","","2026-06-01","broken","2026-06-01","","[WEB] Museums tests","org.rococo.tests.tests.web.MuseumsWebTest","shouldDisplayErrorsOnAddAristFormIfMuseumFieldsHaveGreaterThanMaxLengthTest"
"","5422","Returns Optional.empty() if search artist by unknown id","","2026-06-01","passed","2026-06-01","","[API] Artists tests","org.rococo.tests.tests.api.ArtistApiTest","canGetEmptyArtistByUnknownIdTest"
"","172","Can not create painting with unknown museum","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotCreatePaintingWithUnknownMuseumTest"
"","655","Can not update painting name to exist","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canNotUpdatePaintingNameToExistTest"
"","0","Check displayed default empty list if painting not exists","","2026-06-01","failed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldDisplayEmptyListWhenPaintingsNotExistsTest"
"","291","Can get painting by title","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetPaintingByTitleTest"
"","5","Returns Optional.empty() if search painting by unknown id","","2026-06-01","passed","2026-06-01","","[DB] Paintings tests","org.rococo.tests.tests.fake.db.PaintingDbTest","canGetEmptyPaintingByUnknownIdTest"
"","9689","Check displayed empty filtered list container if painting not founded by query","","2026-06-01","passed","2026-06-01","","[WEB] Paintings tests","org.rococo.tests.tests.web.PaintingsWebTests","shouldDisplayPaintingAfterFilteringByNameTest"
"","180","Can not create museum with exists title","","2026-06-01","passed","2026-06-01","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canNotCreateMuseumWithExistsTitleTest"
"","10076","Check update artist button not exists without authorization","","2026-06-01","passed","2026-06-01","","[WEB] Artists tests","org.rococo.tests.tests.web.ArtistsWebTest","shouldNotAvailableUpdateArtistWithoutAuthorizationTest"
"","366","Can update user","","2026-06-01","passed","2026-06-01","","[GRPC] Users tests","org.rococo.tests.tests.fake.grpc.UserGrpcTest","canUpdateUserTest"
"","305","Can get museum by id","","2026-06-01","passed","2026-06-01","","[GRPC] Museums tests","org.rococo.tests.tests.fake.grpc.MuseumGrpcTest","canGetMuseumByIdTest"
"","101","Should returns BAD_REQUEST if register with invalid length username Case: username length = 5","","2026-06-01","passed","2026-06-01","","[API] Registration tests","org.rococo.tests.tests.api.RegistrationApiTests","shouldReturnBadRequestIfUsernameLengthInvalidTest"
"","361","Can get country by id","","2026-06-01","passed","2026-06-01","","[API] Countries tests","org.rococo.tests.tests.api.CountryApiTest","canGetCountryByIdTest"
